SiteNumber,SiteLongit,SiteLatitu,Flow accumulation,Distance to sea,Slope,TWI,Curvature,Upstream Area,Altitude,Distance to storm track,Soil moisture,Wind speed,Rain,Storm surge,Mean_Gage_height,Max_Gage_height
1388910,-74.270556,40.914444,12226300,0.382386,0.637455,20.731491,845272000,976538000,156.5,0.706339,0.393614,28.4673,0.033353,1.08562,5.070417,12.74
1389005,-74.269167,40.896389,24301300,0.366861,0.117128,22.800534,-17802200,1916600000,155,0.688596,0.393614,28.1937,0.031329,1.06842,6.208333,12.55
1389010,-74.266111,40.894444,24301500,0.363492,1.82235,20.422865,3493910000,1916770000,155,0.685887,0.393614,28.1937,0.031329,1.03936,5.171354,11.42
1377370,-74.039167,41.036667,514020,0.2985,11.3853,14.747683,46471700000,41119500,129.9,0.760291,0.401071,31.6524,0.128364,1.26416,3.431875,7.44
1377451,-74.048056,41.011944,652788,0.294101,5.09678,15.794834,-26802200000,49972600,59.08,0.738962,0.401071,31.5163,0.115795,1.23048,2.023333,8.91
1377500,-74.021111,40.992778,949087,0.261447,4.9884,16.190445,-11407200000,75311200,28.62,0.71313,0.401071,31.6212,0.119853,1.25105,2.447292,7.42
1378500,-74.026667,40.948333,3283270,0.250702,4.88062,17.453239,18369100000,249975000,6.25,0.671922,0.401071,31.4282,0.104327,1.18222,2.381979,11.03
1389802,-74.181667,40.915833,25414100,0.340989,1.36387,20.747383,-4798060000,2036490000,100,0.683254,0.393614,30.2427,0.051595,1.04038,116.341875,120.27
1390450,-74.095556,41.058611,344667,0.358141,0.727151,17.041288,4417900000,25097000,185.16,0.796882,0.401071,31.2865,0.12246,1.24272,2.645833,4.88
1390500,-74.090556,40.985,660748,0.322725,6.7944,15.520195,21066600000,52397600,71.74,0.72473,0.401071,31.235,0.067704,1.15987,1.830521,12.01
1391000,-74.111944,40.997778,554221,0.347162,8.99912,15.061854,38247100000,41914600,120.09,0.742892,0.401071,31.1537,0.065036,1.16292,2.121354,5.28
1391102,-74.099722,40.955278,1351890,0.323107,2.83834,17.101234,3440230000,107742000,0,0.698669,0.401071,31.1396,0.067502,1.09921,2.529583,7.29
1391500,-74.080556,40.890278,1834360,0.287014,12.1152,15.956263,38827100000,146476000,25,0.630905,0.401071,31.0517,0.070992,0.98231,3.043021,12.57
1377000,-73.989167,40.999167,1935700,0.236296,5.7681,16.758627,7944780000,146516000,22.51,0.710498,0.401071,31.9469,0.13373,1.30251,2.090208,11.05
1383000,-74.333333,41.161667,883076,0.616267,6.7167,15.821746,-22250100000,70030100,608.86,0.961295,0.398141,29.4919,0.034244,1.31758,10.331146,11.55
1383500,-74.333611,41.160278,883061,0.615878,1.19509,17.514188,-10078100000,70067500,601.32,0.960036,0.398141,29.4919,0.034244,1.31758,2.556667,4.69
1384500,-74.265833,41.127222,571444,0.540488,1.33741,16.971291,-9625990000,43495300,292.67,0.909632,0.398141,30.0456,0.046344,1.27379,10.93,12.64
1387400,-74.168611,41.140278,2887850,0.463562,9.81845,16.624369,-39104600000,222637000,295.78,0.895476,0.398141,30.7712,0.130006,1.28357,3.259688,9
1387420,-74.160278,41.118333,3004720,0.444508,5.13453,17.314184,20850400000,238676000,263.29,0.872087,0.393614,30.7983,0.056068,1.26084,4.085729,11.85
1387450,-74.116111,41.141111,432048,0.421337,6.5163,15.137171,8346500000,32631400,321.57,0.881855,0.396248,31.1125,0.143186,1.29489,2.418646,7.06
1387500,-74.162778,41.098056,3904280,0.436081,14.3691,16.535557,11938200000,311260000,253.1,0.853276,0.393614,30.8127,0.056595,1.2481,4.278229,10.46
1375000,-73.858889,41.225028,12292800,0.308058,11.2593,17.933557,7048440000,978728000,43.12,0.891878,0.352202,33.1336,0.323289,1.39391,3.520208,11.01
1376800,-73.963889,41.095556,1118170,0.276035,6.5868,16.077321,4860380000,81993400,52.53,0.796233,0.401071,32.401,0.183043,1.38363,3.689896,11.8
1374901,-73.665556,41.266111,980080,0.259773,8.21465,15.723909,14851200000,76930600,203.26,0.878268,0.352202,33.5594,0.783591,1.31895,1.9325,5.68
1374890,-73.601861,41.260222,558569,0.241899,1.05581,17.174099,5170370000,44116400,333.72,0.855108,0.258539,33.0999,1.16846,1.28498,2.347812,5.2
1387095,-74.146972,41.311556,354840,0.557975,4.57573,15.292336,-12875500000,25588700,522.23,1.054219,0.398141,30.0288,0.140837,1.35764,4.160833,6.16
1374581,-73.736111,41.449944,757161,0.455451,1.08509,17.452326,5437750000,57484500,528.53,1.074411,0.381326,31.3177,0.631801,1.32877,2.049792,7.78
137462010,-73.69375,41.411806,1308120,0.408136,3.02559,17.00555,1175600000,103394000,446.96,1.026102,0.381326,31.9235,0.8754,1.31974,2.81725,5.23
1374701,-73.667972,41.358,2949840,0.350446,13.2968,16.335561,-49713200000,207494000,205.48,0.967285,0.352202,32.3509,1.06089,1.31154,4.696875,6.36
1374821,-73.655639,41.327111,6486790,0.318005,1.95202,19.035335,-124668000,61881100,199.49,0.934197,0.352202,32.5862,1.07313,1.30688,2.155729,5.85
1374930,-73.768694,41.338139,438021,0.357825,3.03872,15.907212,3690880000,34539200,498.21,0.975859,0.352202,32.4495,0.571892,1.34829,4.613021,7.85
1374941,-73.753639,41.287611,1007900,0.305208,0.651558,18.215673,9748630000,50506300,313.93,0.923139,0.352202,33.1206,0.578772,1.35219,9.109792,11.3
137449480,-73.556083,41.44725,1946720,0.398057,0.386203,19.34293,1580180000,154640000,414.81,1.022363,0.279366,31.1169,1.78854,1.26202,3.955104,9.23
1374505,-73.607472,41.394583,2592720,0.370593,12.3056,16.286273,9700830000,205081000,315.74,0.985841,0.279366,31.5753,1.53394,1.28213,3.757292,6.26
1374531,-73.639583,41.373389,2924290,0.360568,1.42026,18.546203,344180000,219196000,270.5,0.974283,0.352202,31.9977,1.2863,1.29693,2.472708,7.65
1374781,-73.591472,41.327361,552958,0.303099,5.53194,15.547339,-1934700000,33444100,331.84,0.916809,0.258539,31.7314,1.61968,1.27567,2.266146,4.77
1374559,-73.759583,41.470472,369281,0.481995,14.1579,14.192663,-8706530000,28273400,586.6,1.100598,0.381326,30.7331,0.494721,1.33736,1.503437,4.27
1374598,-73.689472,41.475861,137751,0.470245,4.00981,14.476887,8392130000,10398000,539.63,1.086518,0.381326,31.4692,0.787706,1.31327,1.303229,3.84
